model,granularity,freq,series_id,horizon,train_size,test_size,MAE,RMSE,MAPE,SMAPE
AutoETS,item,daily,32541161,14,27,14,1.4632502794265747,1.8146893005730032,96.32503305162702,179.16587040717326
Prophet,item,daily,32541161,14,27,14,1.4797047109462107,1.8219798360678818,97.97047109462108,180.0025309067921
Naive,item,daily,37083689,14,20,14,0.5714285969734192,0.7559289629147828,57.14285714285714,114.28571428571428
SeasonalNaive,item,daily,37083689,14,20,14,0.5714285969734192,0.7559289629147828,57.14285714285714,114.28571428571428
AutoARIMA,item,daily,37083689,14,20,14,0.5928570628166199,0.7566372518311612,59.285712242126465,116.37630467509273
AutoETS,item,daily,37083689,14,20,14,0.593011200428009,0.7566475319928682,59.301120894295835,116.39096828098798
Prophet,item,daily,37083689,14,20,14,0.6171005601990108,0.761708802423591,61.71005601990108,118.46625166247445
Naive,item,daily,40345287,14,133,14,0.1428571492433548,0.3779644814573914,100.0,200.0
SeasonalNaive,item,daily,40345287,14,133,14,0.3571428656578064,0.88640525082176,100.0,111.1111111111111
AutoARIMA,item,daily,40345287,14,133,14,0.2714598774909973,0.3386839225412565,66.98231846094131,181.997781034016
AutoETS,item,daily,40345287,14,133,14,0.35688909888267517,0.4056186354891659,57.19359815120697,178.1999068569298
Prophet,item,daily,40345287,14,133,14,0.2809643182277986,0.3385810747115068,61.904087772460095,179.93705458882567
Naive,item,daily,40819947,14,90,14,0.0714285746216774,0.2672612478861786,100.0,200.0
SeasonalNaive,item,daily,40819947,14,90,14,0.0714285746216774,0.2672612478861786,100.0,200.0
AutoARIMA,item,daily,40819947,14,90,14,0.0714285746216774,0.2672612478861786,100.0,200.0
AutoETS,item,daily,40819947,14,90,14,0.0714285746216774,0.2672612478861786,100.0,200.0
Prophet,item,daily,40819947,14,90,14,0.07142857142857142,0.2672612419124244,100.0,200.0
Naive,item,daily,45833252,14,149,14,0.0,0.0,,
SeasonalNaive,item,daily,45833252,14,149,14,0.1428571492433548,0.3779644814573914,,200.0
AutoARIMA,item,daily,45833252,14,149,14,0.1409395933151245,0.14093958582465937,,200.0
AutoETS,item,daily,45833252,14,149,14,0.14060279726982117,0.14060275908597555,,200.0
Prophet,item,daily,45833252,14,149,14,0.1530803222042094,0.16789709513380285,,200.0
Naive,item,daily,46234780,14,14,14,1.0,1.3627702689937,71.42857142857143,138.0952380952381
SeasonalNaive,item,daily,46234780,14,14,14,1.1428571939468384,1.4638500861555288,85.71428571428571,143.33333333333334
AutoARIMA,item,daily,46234780,14,14,14,1.0306122303009033,1.3417494764104867,77.55102089473179,140.8963587072671
AutoETS,item,daily,46234780,14,14,14,1.0559635162353516,1.3610741968187887,82.62127978461129,142.2697500760652
Prophet,item,daily,46234780,14,14,14,1.1458410231689882,1.4081965330529471,86.5682952105925,145.73418795571592
Naive,item,daily,46706856,14,112,14,0.0,0.0,,
SeasonalNaive,item,daily,46706856,14,112,14,0.2857142984867096,0.5345224957723572,,200.0
AutoARIMA,item,daily,46706856,14,112,14,0.14094388484954834,0.1462643751493017,,200.0
AutoETS,item,daily,46706856,14,112,14,0.18402168154716492,0.19096833367193874,,200.0
Prophet,item,daily,46706856,14,112,14,0.13408921335268725,0.16360973402005463,,200.0
Naive,item,daily,49680831,14,132,14,0.0,0.0,,
SeasonalNaive,item,daily,49680831,14,132,14,0.0,0.0,,
AutoARIMA,item,daily,49680831,14,132,14,0.02597402222454548,0.056110304147021874,,200.0
AutoETS,item,daily,49680831,14,132,14,0.025950120761990547,0.056058670776342974,,200.0
Prophet,item,daily,49680831,14,132,14,0.02257612028796108,0.053729601734630456,,200.0
Naive,item,daily,52610227,14,143,14,0.0714285746216774,0.2672612478861786,100.0,200.0
SeasonalNaive,item,daily,52610227,14,143,14,0.0714285746216774,0.2672612478861786,100.0,200.0
AutoARIMA,item,daily,52610227,14,143,14,0.1553446352481842,0.25889647072261096,90.20979031920433,197.45222932529757
AutoETS,item,daily,52610227,14,143,14,0.1552521288394928,0.25888541964878076,90.2205839753151,197.4547880054605
Prophet,item,daily,52610227,14,143,14,0.17662303688792064,0.24732010065633706,73.84982493072,194.07731413204965
Naive,item,daily,53783135,14,68,14,1.4285714626312256,2.0701966451221723,78.57142857142857,157.14285714285714
SeasonalNaive,item,daily,53783135,14,68,14,1.4285714626312256,2.0701966451221723,78.57142857142857,157.14285714285714
AutoARIMA,item,daily,53783135,14,68,14,1.5073529481887817,2.0771803465608545,86.44957968166896,163.7976928830184
AutoETS,item,daily,53783135,14,68,14,1.5072381496429443,2.077160030416932,86.43809727260044,163.78949772404337
